mol_id,smiles,antibacterial,Polyketides,cluster
45,Cc1cc(O)cc(O)c1C(=O)OC(C)Cc1cc(O)cc(O)c1C(=O)OC(C)Cc1cc(O)cc(O)c1C(=O)OC(C)Cc1cc(O)cc(O)c1C(=O)O,0,1,5
111,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,0,1,6
142,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,1,1,5
144,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1,1,0
200,Cc1cc(O)cc(Oc2cc(C)cc(O)c2O)c1,1,1,6
207,CCCCCCC(C)C1=C(O)C(=O)C2C(O)C(C)CC(O)C2C1(C)C(=O)C=CO,0,1,3
214,Oc1cc(O)cc(Oc2c(O)cc(O)c3c2Oc2c(O)cc(O)c(-c4c(O)cc(O)c5c4Oc4c(O)cc(O)c(Oc6cc(O)cc(O)c6)c4O5)c2O3)c1,0,1,6
231,CCCCCc1cc(O)cc(O)c1C(=O)Oc1cc(O)c(C(=O)Oc2cc(O)c(C(=O)O)c(CCC)c2)c(CCC)c1,0,1,5
232,CCCCCc1cc(OC(=O)c2c(O)cc(OC(=O)c3c(O)cc(O)cc3CCC)cc2CCC)cc(O)c1C(=O)O,0,1,5
233,CCCCC(C)C1=C(O)C(=O)C2CC(C)CC(C(=O)O)C2C1(C)C(=O)CCO,0,1,3
242,CCC(C)c1c(OC2CC(OC3CC(O)C(O)C(C)O3)C(O)C(C)O2)cc2cc3c(c(O)c2c1O)C(=O)C(OC1CC(OC2CC(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)C(OC(C)=O)C(C)O2)C(O)C(C)O1)C(C(OC)C(=O)C(O)C(C)O)C3,0,1,1
243,CCC(C)c1c(OC2CC(OC3CC(O)C(O)C(C)O3)C(O)C(C)O2)cc2cc3c(c(O)c2c1O)C(=O)C(OC1CC(OC2CC(OC4CC(O)C(O)C(C)O4)C(OC(C)=O)C(C)O2)C(O)C(C)O1)C(C(OC)C(=O)C(O)C(C)O)C3,0,1,1
245,CC=CC=CC1=C2C3=CC(=O)C(C)(OC(=O)CC(C)O)C(=O)C3=CN3CCC(O)C(O1)C23,0,1,3
256,CC=CC=CC1=CC2=C(CO1)C(=O)C(C)(O)C(O)C2,0,1,4
258,CC=CC=Cc1cc(=O)c2c(o1)OC1(C)CCC3(O)C4(CCC(O)(OC4)C3(C)C)C1C2O,0,1,4
263,CCCC(CCCCCCCc1cc(O)cc(O)c1C(=O)OC(CCC)CCCCCCCc1cc(O)cc(O)c1)OC(C)=O,0,1,5
264,CCCC(O)CCCCCCCc1cc(O)cc(O)c1C(=O)OC(CCC)CCCCCCCc1cc(O)cc(O)c1,0,1,5
265,CCCC=CCCCCCCc1cc(O)cc(O)c1C(=O)OC(CCC)CCCCCCCc1cc(O)cc(O)c1,0,1,5
266,COc1cc2c(c(O)c1O)C1(C)Oc3c(O)c(OC)cc(CO)c3C(C)(O1)C2=O,0,1,6
267,COc1cc2c(c(O)c1O)C1(C)Oc3c(O)c(OC)cc(C=O)c3C(C)(O1)C2=O,0,1,6
275,Cc1cc(=O)c2c(O)cc3c(c2o1)C(=O)c1c(cc(O)c(Cl)c1O)C3=O,0,1,6
276,Cc1cc(=O)c2c(O)c3c(cc2o1)C(=O)c1cc(O)c(Cl)c(O)c1C3=O,0,1,6
277,Cc1cc(=O)c2c(O)cc3c(c2o1)C(=O)c1c(O)cc(O)cc1C3=O,0,1,6
278,Cc1cc(=O)c2c(O)c3c(cc2o1)C(=O)c1cc(O)cc(O)c1C3=O,0,1,6
287,CC(C)(COC(=O)c1ccc2c(c1)OCO2)CC1=C(O)C(=O)c2ccccc2C1=O,0,1,4
292,COc1cc(C)cc2c(-c3c(O)cc(O)c4c3CC(C)NC4C)cc(-c3cc(-c4c(O)cc(O)c5c4CC(C)NC5C)c4cc(C)cc(OC)c4c3O)c(O)c12,0,1,1
335,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,1,1,0
348,CC=CC1=CC2=CC(=O)C(C)(OC(=O)c3c(O)cc(O)c(O)c3C)C(=O)C2(O)C(O)O1,0,1,4
349,CCCC1(OC)OC(=O)c2c1cc(O)c(O)c2C,0,1,6
350,O=Cc1cc(C(=O)O)cc(O)c1C(=O)c1c(O)cccc1O,0,1,6
373,CC(C)C([NH3+])C(=O)OC(C)C1CC=CCCC(O)C(C)(C)C2CCC(C)C3(O2)O[B-]24OC(C(=O)O1)C1(OC(CCC1C)C(C)(C)C(O)CCCC1CC(OC(=O)C3O2)C(C)O1)O4,1,1,0
381,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,0,1,0
390,COc1cc(OC)c2c(c1)cc(O)c1c(=O)cc(C)oc12,0,1,6
393,CC(C=CC(C)=CC1Cc2nc(cs2)C(C)CC(N)CC(=O)OC(C)CC(C)=CC=CC(=O)O1)=CCN(C)C,0,1,7
404,CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)C(CO)N(C)C1=O,1,1,3
485,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,0,1,1
518,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)C(C)CO1,0,1,6
645,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,1,1,5
649,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1,1,0
654,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,1,1,0
662,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,1,1,0
663,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O,1,1,0
674,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1,1,1
679,CCCCCC(O)C1C(=O)OC(C)C(O)C=CC=CC=CC=CC=C(C)C(O)C(O)C(O)CC(O)CC(O)CC(O)CC(O)CC1O,0,1,3
684,Cc1cc(O)c2c(c1)OC1(C)CCC3C(C)(C)CCCC34COC2C14,0,1,4
690,COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,1,1,3
717,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1,1,0
720,CCC(C)(C)c1ccc(CC(C)CN2CC(C)OC(C)C2)cc1,0,1,3
722,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3C2(C)C1=O,0,1,6
728,CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O,0,1,5
730,COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O,1,1,6
736,COc1cc(Cl)c(OC)cc1Cl,0,1,6
759,CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2CC3(CCC(C)C(CC(C)O)O3)OC(CC1)C2C,1,1,0
800,COC1=CC(C)=CC(C)C(O)C(C)CC(C)=CC=CC(OC)C(C(C)C(O)C(C)C2(O)CC(O)C(C)C(C(C)C)O2)OC1=O,0,1,7
801,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,1,1,0
808,CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,1,1,0
813,CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,1,1,7
833,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,1,1,0
837,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,1,1,6
850,O=C1C=C(O)C(=O)c2ccccc21,0,1,6
857,O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,0,1,6
866,CCC(C=CC1OC(=O)C=CC1C)=CC(C)CC=CC(C)=CC(C)C(=O)C(C)C(O)C(C)CC(C)=CC(=O)O,0,1,3
867,CC(C=CC1OC(=O)C=CC1C)=CC(C)CC=CC(C)=CC(C)C(=O)C(C)C(O)C(C)CC(C)=CC(=O)O,0,1,3
879,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O,1,1,1
882,COC1=C(C)C(=O)C2=C(CCc3cc(O)ccc3O2)C1=O,1,1,6
884,CCCCC(=O)OC1CC(OC(C)C(C)C(O)C(C)C(O)C(C)C2OC(=O)C=CCC(O)CC(O)CC(O)CCC(C)C(O)CC3(O)OC(CC(O)CC(OC(=O)CC(=O)O)CCCC(O)C4OC4C2C)CC(O)C3O)OC(C)C1O,0,1,0
885,CCCCC(C(=O)OC)C(=O)OC1CCCC(O)C2OC2C(C)C(C(C)C(O)C(C)C(O)C(C)C(C)OC2CC(OC)C(OC)C(C)O2)OC(=O)C=CCC(O)CC(O)CC(O)CCC(C)C(O)CC2(O)OC(CC(O)C1)CC(O)C2O,0,1,0
891,CCCCCCCCC=CCCC=CC1CC(C(O)(CC(=O)OC(C(=O)O)C(CC(=O)O)C(=O)O)C(=O)O)C(=O)O1,0,1,3
892,CCCCCC=CCC=CCCC=CC1CC(C(O)(CC(=O)OC(C(=O)O)C(CC(=O)O)C(=O)O)C(=O)O)C(=O)O1,0,1,3
894,CC=CC=CC=CC1=CC2=CC(=O)C(C)(OC(=O)CC(C)O)C(=O)C23OC3O1,0,1,3
895,CC=CC=CC=CC1=CC2=CC(=O)C(C)(OC(=O)CC(C)O)C(=O)C2=CO1,0,1,3
896,COC(=O)C=C(OC)C(C)C(C=Cc1csc(-c2csc(C(C)C)n2)n1)OC,0,1,3
904,CCCCCC=CC=CC(O)CC=CC=CC(=O)OC1C(O)C(Oc2c(O)cc(O)cc2CO)OC(CO)C1OC1OC(C(O)COC(=O)C=CC=CCCC(O)CC)C(O)C1O,0,1,3
913,CCC(C)c1cc2c(Cl)c3c(c(O)c2c(=O)n1N)-c1c(O)c2c(c4c1C(C3)OCO4)OC1C(OC)C=CC(O)C1C2=O,0,1,4
919,COc1ccnc(C(=O)NC2COC(=O)C(Cc3ccccc3)C(OC(=O)C(C)C)C(C)OC2=O)c1O,0,1,3
920,CC=C(C)C(=O)OC1C(C)OC(=O)C(NC(=O)c2nccc(OC)c2O)COC(=O)C1Cc1ccccc1,0,1,4
923,CC1CC(O)C(O)C=CC2OC2C(=O)O1,0,1,3
924,CC=CC(=O)OC1CC(C)OC(=O)C2OC2C=CC1O,0,1,7
933,CCC(O)CC1CCCC2(CC3OC(=O)C=CC(C)(O)C(O)C(C)C(O)C(O)C(O)C(C)(O)CCCCCC=CC4CC(C)(C)OC4(O)CC(O2)C3C)O1,0,1,0
934,CCC(O)CC1CCCC2(CC3OC(=O)C=CC(C)(O)C(O)C(C)C(O)C(OC4CCC(N(C)C)C(C)O4)C(O)C(C)(O)CCCCCC=CC4CC(C)(C)OC4(O)CC(O2)C3C)O1,0,1,0
938,CC1CC2=C(O1)c1cccc(O)c1C(=O)C2=O,0,1,1
943,CCCC(O)CC1CCC(C)CCCCC(=O)N(C)C(Cc2ccc(OCCO)cc2)C(=O)O1,0,1,3
944,CCCCCC1CCC(C)CCCCC(=O)N(C)C(Cc2ccc(OCCO)cc2)C(=O)O1,0,1,3
949,CCC(C)C=CC1=CC2=C(Cl)C(=O)C3(C)OC(=O)C(C(=O)C(C)C(C)O)=C3C2=CO1,0,1,3
950,CCC(C)C=CC1=CC2=C(Cl)C(=O)C3(C)OC4(O)C(C)C(C)OC(=O)C4C3C2=CO1,0,1,3
951,Cc1cc(O)c(C(=O)c2c(O)ccc(O)c2C)c(O)c1-c1c(C)cc(O)c(C(=O)c2c(O)ccc(O)c2C)c1O,1,1,6
956,CCC(C)C=C(C)C=CC1=CC2=CC3=C(C(C)=O)C(=O)OC3(C)C(=O)C2=CO1,0,1,3
957,CCC(C)C=C(C)C=CC1=CC2=C(Cl)C(=O)C(C)(O)C(CC(C)=O)C2=CO1,0,1,3
958,CC1=CC=C2C=CC(C)=C(C)CC(C)C(=O)C(C(=O)O)C3(C)OC(=C1O2)C(O)=C3O,0,1,4
959,CCC(C)C=C(C)C=CC1=CC2=CC3=C(C(C)=O)C(=O)OC3(C)C(O)C2=CO1,0,1,3
960,CC(=O)C1=C2C=C3C=C(C=CC(C)=CC(C)CCO)OC=C3C(O)C2(C)OC1=O,0,1,3
961,CCC(C)C=C(C)C=CC1=CC2=C(Cl)C(=O)C3(C)OC(=O)C(C(C)=O)=C3C2=CO1,0,1,3
970,CCCCCC=CC=CC(=O)OCC1OC(OC2C(CO)OC3(OCc4cc(O)cc(O)c43)C(O)C2OC(=O)C=CC=CCC(O)C(C)=CC=CCCC(C)CC)C(O)C(O)C1O,0,1,3
971,CCC(O)C=CC=CC=CC(=O)OCC1OC(OC2C(CO)OC3(OCc4cc(O)cc(O)c43)C(O)C2OC(=O)C=CC=CCC(O)C(C)=CC=CCCC(C)CC)C(O)C(O)C1O,0,1,7
972,CCC(C)CCC=CC=C(C)C(O)CC=CC=CC(=O)OC1C(O)C(CO)OC2(OCc3cc(O)cc(O)c32)C1O,0,1,3
999,CCC1C(C)OC(O)(C(C)C(O)C(C)C2OC(=O)C=CC=CC(C)C(C(C)C(O)C(C)C3(O)CC(OC4CC(O)C(O)C(C)O4)C(CC)C(C)O3)OC(=O)C=CC=CC2C)CC1OC1CC(O)C(O)C(C)O1,0,1,0
1002,COC=C(C(=O)OC)C(C)=CC=Cc1ccccc1,0,1,5
1003,CC1CC(C)CC(C)C(O)C(C#N)=CC=CCC(C2CCCC2C(=O)O)OC(=O)CC(O)C(C)C1,1,1,7
1004,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,1,1,6
1006,CCC=CC(CC)CCCC1(CC)CC(CC)C(CC(=O)O)OO1,0,1,3
1011,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,0,1,5
1120,COc1cc(O)c2c(c1)C1OC1CC(O)C(O)C(=O)C=CCC(C)OC2=O,0,1,1
1123,CCCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1127,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,0,1,6
1129,CCCCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1130,CCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1131,CCCCCCCCCCCCCCN1CC(C)OC(C)C1,0,1,3
1144,COC=C(C(=O)OC)C(C)=CC=Cc1ccc(Cl)c(OC)c1,0,1,5
1174,CC(=O)C1C(=O)C=C(C)OC1=O,1,1,5
1182,Oc1ccc(C2OCC3OC3O2)cc1,1,1,4
1190,O=C1CC(O)C2c3ccc(O)c4c3C(c3ccc(O)c1c32)C(O)CC4=O,0,1,6
1194,COC1=CC2(C)OC(=O)c3c(O)cc(OC)cc3C2=C(O)C1=O,0,1,6
1195,C=C1C(=O)OC2C(CCCCCC)OC(=O)C12,0,1,3
1196,O=C1C(Cl)=CC2(Oc3cccc4cccc(c34)O2)C23OC12C(O)CCC3=O,0,1,1
1207,CCCCCCCC1OC2=C(C(=O)C(C)O2)C(O)C1(C)O,0,1,3
1208,CCCCCCCC1OC2=C(C(=O)OC2C)C(O)C1(C)O,0,1,3
1220,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(-c3c4cc(OC)cc(OC)c4c(O)c4c(=O)cc(C)oc34)c2c1,0,1,6
1227,CC1CC2OC2C=CC=CC(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,0,1,4
1228,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,0,1,6
1235,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1,1,2
1262,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,1,1,2
1275,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,1,1,5
1286,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,1,1,3
1321,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,1,1,2
1326,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,1,1,2
1330,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,1,1,2
1398,CC1=CC2C(O)C(C)CCC2C2(C)C(=O)OC(C)CCCC=C(C(=O)O)C(O)C(C)C=CC=CC12,1,1,7
1406,COc1ccc(O)c2c1C(=O)c1cc3c(c(O)c1C2=O)C(OC1CC(C)(N(C)C)C(O)C(C)O1)C(OC)C(C)(O)C3O,1,1,9
1407,CC(=O)OCC12Oc3c(-c4ccc(O)c5c4OC4(COC(C)=O)C(=C(O)CC(C)C4OC(C)=O)C5=O)ccc(O)c3C(=O)C1=C(O)CC(C)C2OC(C)=O,1,1,1
1408,CC(=O)OCC12Oc3ccc(-c4ccc(O)c5c4OC4(COC(C)=O)C(=C(O)CC(C)C4OC(C)=O)C5=O)c(O)c3C(=O)C1=C(O)CC(C)C2OC(C)=O,1,1,1
1412,COc1c(O)cc2oc(C)cc(=O)c2c1O,1,1,6
1417,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(OC(=O)C(C)C)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O,1,1,0
1418,CC(C)=CC(=O)c1c(O)cc2c(c1C)OC(=O)c1c(C)cc(O)c(C=O)c1O2,1,1,6
1445,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,1,1,2
1465,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)(F)C(=O)C(C)C(O)C1(C)O,1,1,2
1508,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)C1(C(=O)C(C)C)C2=O,1,1,3
1510,COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,1,1,0
1513,O=c1c(O)cccc2cc(O)c(O)c(O)c12,1,1,6
1534,O=C1C=CC(=O)c2c(O)ccc(O)c21,1,1,6
1545,CCC(C)C1C(=O)OC2c3cc(C)cc(O)c3C3=C(C(=O)c4c(OC5CC(O)C(O)C(C)O5)cccc4C3=O)N21,1,1,1
